年份,省份,院校代码,学校,专业名称,最低分,最低位次,选科要求,录取批次,隶属,办学层次,办学类型,学校性质,是否双一流,是否 985,是否 211,城市,网址,录取省份
2021,1,10003,清华大学,临床医学类（医学实验班。临床医学专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,临床医学类（协和方向。临床医学专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,电子信息类（含电子信息科学与技术、生物医学工程专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,自动化类（含自动化、信息管理与信息系统专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,工科试验班类（机械、航空与动力方向。含机械工程、机械工程（实验班）、测控技术与仪器、能源与动力工程、车辆工程、车辆工程（电子信息方向）、车辆工程（车身方向）、工业工程、航空航天类专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,理科试验班类（经济、金融与管理方向。含金融学类（经济金融国际班）、信息管理与信息系统专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,理科试验班类（数理方向。含数学与应用数学、物理学、数理基础科学、工程物理、工程物理（能源实验班专业））,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,文科试验班类（新雅书院。含社会学等全校各专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,计算机类（含计算机科学与技术、软件工程、计算机科学与技术（计算机科学实验班）、计算机科学与技术（智班）专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
2021,1,10003,清华大学,理科试验班（化生类方向。含化学、生物科学、药学、化学工程与工业生物工程、高分子材料与工程专业）,613,72,"",本科批,教育部,普通本科,综合类,公办,1,1,1,北京市,https://www.gaokao.cn/school/140/provinceline,9
